2021-04-14 15:59:32,097 semantic_segmentation INFO: Using 1 GPUs
2021-04-14 15:59:32,097 semantic_segmentation INFO: Namespace(aux=False, aux_weight=0.4, backbone='dualresnet', base_size=1040, batch_size=5, crop_size=1024, data_path='/home/mohi/projects/pytorch-sem-seg/awesome-semantic-segmentation-pytorch/datasets/citys', dataset='citys', device='cuda', distributed=False, epochs=250, jpu=False, local_rank=0, log_dir='runs/logs/', log_iter=10, lr=0.003, model='ddrnet_23', momentum=0.9, nclass=19, no_cuda=False, num_gpus=1, resume=None, save_dir='trained_models/', save_epoch=1, skip_val=False, start_epoch=0, use_ohem=True, val_epoch=1, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=4)
2021-04-14 15:59:33,663 semantic_segmentation INFO: Start training, Total Epochs: 250 = Total Iterations 148750
2021-04-14 15:59:41,274 semantic_segmentation INFO: Iters: 10/148750 || Lr: 0.003000 || Loss: 3.5440 || Cost Time: 0:00:07 || Estimated Time: 1 day, 6:45:36
2021-04-19 10:29:44,815 semantic_segmentation INFO: Model restored successfully!!!!
2021-04-19 10:29:44,816 semantic_segmentation INFO: Start validation, Total sample: 500
2021-04-19 10:30:01,029 semantic_segmentation INFO: Sample: 137, validation pixAcc: 95.599, mIoU: 74.296
2021-04-19 10:30:01,130 semantic_segmentation INFO: Sample: 138, validation pixAcc: 95.618, mIoU: 74.323
2021-04-19 10:30:01,245 semantic_segmentation INFO: Sample: 139, validation pixAcc: 95.616, mIoU: 74.337
2021-04-19 10:30:01,346 semantic_segmentation INFO: Sample: 140, validation pixAcc: 95.622, mIoU: 74.340
2021-04-19 10:30:01,453 semantic_segmentation INFO: Sample: 141, validation pixAcc: 95.630, mIoU: 74.299
2021-04-19 10:30:01,552 semantic_segmentation INFO: Sample: 142, validation pixAcc: 95.635, mIoU: 74.278
2021-04-19 10:30:01,661 semantic_segmentation INFO: Sample: 143, validation pixAcc: 95.648, mIoU: 74.331
2021-04-19 10:30:01,757 semantic_segmentation INFO: Sample: 144, validation pixAcc: 95.659, mIoU: 74.355
2021-04-19 10:30:01,862 semantic_segmentation INFO: Sample: 145, validation pixAcc: 95.668, mIoU: 74.348
2021-04-19 10:30:01,964 semantic_segmentation INFO: Sample: 146, validation pixAcc: 95.685, mIoU: 74.356
2021-04-19 10:30:02,061 semantic_segmentation INFO: Sample: 147, validation pixAcc: 95.666, mIoU: 74.343
2021-04-19 10:30:02,173 semantic_segmentation INFO: Sample: 148, validation pixAcc: 95.676, mIoU: 74.337
2021-04-19 10:30:02,273 semantic_segmentation INFO: Sample: 149, validation pixAcc: 95.678, mIoU: 74.274
2021-04-19 10:30:02,392 semantic_segmentation INFO: Sample: 150, validation pixAcc: 95.688, mIoU: 74.266
2021-04-19 10:30:02,495 semantic_segmentation INFO: Sample: 151, validation pixAcc: 95.707, mIoU: 74.269
2021-04-19 10:30:02,609 semantic_segmentation INFO: Sample: 152, validation pixAcc: 95.708, mIoU: 74.340
2021-04-19 10:30:02,714 semantic_segmentation INFO: Sample: 153, validation pixAcc: 95.726, mIoU: 74.343
2021-04-19 10:30:02,807 semantic_segmentation INFO: Sample: 154, validation pixAcc: 95.742, mIoU: 74.331
2021-04-19 10:30:02,921 semantic_segmentation INFO: Sample: 155, validation pixAcc: 95.748, mIoU: 74.304
2021-04-19 10:30:03,023 semantic_segmentation INFO: Sample: 156, validation pixAcc: 95.754, mIoU: 74.299
